	NAME	URL
1	Dr. Wong Tet Fah	http://www.medeguide.com/wong-tet-fah
2	Dr. Bura Sindhupakorn	http://www.medeguide.com/bura-sindhupakorn
3	Dr. Arda Lembet	http://www.medeguide.com/arda-lembet
4	Dr. Joshua Mohanraj Daniel	http://www.medeguide.com/joshua-mohanraj-daniel
5	Dr. Praveen Rathod	http://www.medeguide.com/praveen-rathod
6	Dr. Aashish R Shah	http://www.medeguide.com/aashish-r-shah
7	Dr. Roger Tan	http://www.medeguide.com/roger-tan
8	Dr. Tang Boon Nee	http://www.medeguide.com/tang-boon-nee
9	Dr. Sandeep Vaishya	http://www.medeguide.com/sandeep-vaishya
10	Dr. Apirak Santingamkun	http://www.medeguide.com/apirak-santingamkun
11	Dr. M. Devanand	http://www.medeguide.com/devanand-mangharam-ratnam
12	Dato Dr. Mahmood Merican	http://www.medeguide.com/merican-mahmood-osman
13	Mrs. Melanie Yeoh	http://www.medeguide.com/melanie-yeoh-may-ying
14	Dr. (ms) Kim - Lei Wong	http://www.medeguide.com/wong-kim-lei
15	Dr. (Padma) Latha Venkataram	http://www.medeguide.com/padma-latha-venkataram
16	Dr. A N Jha	http://www.medeguide.com/n-jha
17	Dr. A. D. Vanniasingham	http://www.medeguide.com/arjuna-david-vanniasingham
18	Dato Dr. A. Damodaran	http://www.medeguide.com/anavangot-damodaran
19	Dr. A. Nadarajah	http://www.medeguide.com/a-nadarajah
20	Dr. Aashish R Shah	http://www.medeguide.com/aashish-r-shah
21	Dr. Bura Sindhupakorn	http://www.medeguide.com/bura-sindhupakorn
22	Dr. Arda Lembet	http://www.medeguide.com/arda-lembet
23	Dr. Joshua Mohanraj Daniel	http://www.medeguide.com/joshua-mohanraj-daniel
24	Dr. Praveen Rathod	http://www.medeguide.com/praveen-rathod
25	Dr. Aashish R Shah	http://www.medeguide.com/aashish-r-shah
26	Dr. Roger Tan	http://www.medeguide.com/roger-tan
27	Dr. Tang Boon Nee	http://www.medeguide.com/tang-boon-nee
28	Dr. Sandeep Vaishya	http://www.medeguide.com/sandeep-vaishya
