Mobile Name	url	url	wallpapers	ringtones	size
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-7113/acer/acer-iconia-b1-721/	http://www.zedge.net/wallpapers/7113/acer-iconia-b1-721-wallpapers/	http://www.zedge.net/ringtones/7113/acer-iconia-b1-721-ringtones/	199 x 122 x 11 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-7112/acer/acer-iconia-tab-a1-811/	http://www.zedge.net/wallpapers/7112/acer-iconia-tab-a1-811-wallpapers/	http://www.zedge.net/ringtones/7112/acer-iconia-tab-a1-811-ringtones/	209 x 146 x 11 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-7111/acer/acer-iconia-tab-a3/	http://www.zedge.net/wallpapers/7111/acer-iconia-tab-a3-wallpapers/	http://www.zedge.net/ringtones/7111/acer-iconia-tab-a3-ringtones/	260 x 175 x 10 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-7110/acer/acer-iconia-tab-b1-710/	http://www.zedge.net/wallpapers/7110/acer-iconia-tab-b1-710-wallpapers/	http://www.zedge.net/ringtones/7110/acer-iconia-tab-b1-710-ringtones/	198 x 130 x 13 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-7109/acer/acer-liquid-e3/	http://www.zedge.net/wallpapers/7109/acer-liquid-e3-wallpapers/	http://www.zedge.net/ringtones/7109/acer-liquid-e3-ringtones/	136 x 68 x 9 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-7108/acer/acer-liquid-s2/	http://www.zedge.net/wallpapers/7108/acer-liquid-s2-wallpapers/	http://www.zedge.net/ringtones/7108/acer-liquid-s2-ringtones/	166 x 86 x 9 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-7107/acer/acer-liquid-z4/	http://www.zedge.net/wallpapers/7107/acer-liquid-z4-wallpapers/	http://www.zedge.net/ringtones/7107/acer-liquid-z4-ringtones/	0 x 0 x 0 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-7106/acer/acer-liquid-z5/	http://www.zedge.net/wallpapers/7106/acer-liquid-z5-wallpapers/	http://www.zedge.net/ringtones/7106/acer-liquid-z5-ringtones/	146 x 74 x 9 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-7105/acer/acer-iconia-a1-830/	http://www.zedge.net/wallpapers/7105/acer-iconia-a1-830-wallpapers/	http://www.zedge.net/ringtones/7105/acer-iconia-a1-830-ringtones/	203 x 138 x 8 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-6763/acer/acer-liquid-z3/	http://www.zedge.net/wallpapers/6763/acer-liquid-z3-wallpapers/	http://www.zedge.net/ringtones/6763/acer-liquid-z3-ringtones/	109 x 60 x 10 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-6693/acer/acer-a701-iconia-tab/	http://www.zedge.net/wallpapers/6693/acer-a701-iconia-tab-wallpapers/	http://www.zedge.net/ringtones/6693/acer-a701-iconia-tab-ringtones/	260 x 175 x 11 mm
