1	30Bouqs.com Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=30Bouqs.com Inc	Marina del Rey, CA 90295	LA/Orange County	www.thebouqs.com		$6,000,000	3	Early Stage	Consumer Products and Services	30Bouqs.com Inc operates as an online florist.	Azure Capital Partners Inc	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Azure Capital Partners Inc&Drill=2014-2	KEC Holdings LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=KEC Holdings LLC&Drill=2014-2	Quest Venture Partners LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Quest Venture Partners LLC&Drill=2014-2	SG VC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=SG VC&Drill=2014-2	Siemer Ventures	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Siemer Ventures&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
2	3Gear Systems Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=3Gear Systems Inc	San Francisco, CA 94107	Silicon Valley	www.threegear.com		$1,900,200	1	Early Stage	Semiconductors	3Gear Systems, Inc. develops gesture recognition technology for computers.	CrunchFund	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=CrunchFund&Drill=2014-2	Intel Capital Corp	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Intel Capital Corp&Drill=2014-2	K9 Ventures LP	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=K9 Ventures LP&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
3	6 Sense Insights Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=6 Sense Insights Inc	San Francisco, CA 94107	Silicon Valley	www.6sense.com		$12,000,000	1	Early Stage	IT Services	Offers a B2B predictive intelligence engine for sales and marketing.	Battery Ventures LP	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Battery Ventures LP&Drill=2014-2	Venrock, Inc.	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Venrock, Inc.&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
4	aPEEL Technology Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=aPEEL Technology Inc	Santa Barbara, CA 93103	LA/Orange County	www.apeeltech.com		$50,000	2	Early Stage	Biotechnology	Provides a solution created from natural plant extracts.	Tech Coast Angels	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Tech Coast Angels&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
5	Access Systems Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Access Systems Inc	Herndon, VA 20190	DC/Metroplex	www.accsys-inc.com		$4,000,000	2	Early Stage	IT Services	Provides information technology (IT) solutions.	True Ventures	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=True Ventures&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
6	Accolade, Inc.	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Accolade, Inc.	Plymouth Meeting, PA 19462	Philadelphia Metro	www.accolade.com		$2,800,000	3	Expansion	Healthcare Services	Accolade, Inc. provides healthcare related information services	Comcast Ventures	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Comcast Ventures&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
7	Accord Group Holdings LLC	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Accord Group Holdings LLC	San Francisco, CA 94111	Silicon Valley	accord.dealsni.co.uk		$0	1	Early Stage	Financial Services	Provides investment management and advisory services.	JMP Securities LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=JMP Securities LLC&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
8	Acquia Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Acquia Inc	Burlington, MA 01803	New England	www.acquia.com		$50,000,000	7	Expansion	Software	Acquia, Inc. is a commercial services provider for Drupal platform.	Accolade Capital Management	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Accolade Capital Management&Drill=2014-2	Investor Growth Capital Inc	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Investor Growth Capital Inc&Drill=2014-2	New Enterprise Associates, Inc.	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=New Enterprise Associates, Inc.&Drill=2014-2	North Bridge Venture Partners L P	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=North Bridge Venture Partners L P&Drill=2014-2	Sigma Partners	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Sigma Partners&Drill=2014-2	Split Rock Partners LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Split Rock Partners LLC&Drill=2014-2	Tenaya Capital, Inc.	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Tenaya Capital, Inc.&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data
9	Actualmeds Corp	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Actualmeds Corp	Rocky Hill, CT 06067	New England	www.adheretx.com		$400,000	1	Expansion	Software	develops medical management software system.	Connecticut Innovations Inc	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Connecticut Innovations Inc&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
10	Adarza BioSystems Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Adarza BioSystems Inc	West Henrietta, NY 14586	Upstate NY	www.adarzabio.com		$4,250,000	4	Expansion	Biotechnology	Adarza BioSystems, Inc is a medical diagnostics company.	Cultivation Capital	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Cultivation Capital&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
11	Adcade	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Adcade	New York, NY 10003	NY Metro	adcade.com		$5,000,100	3	Early Stage	IT Services	Adcade develops an ad building platform.	ff Venture Capital	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=ff Venture Capital&Drill=2014-2	Polaris Partners	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Polaris Partners&Drill=2014-2	Quotidian Ventures LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Quotidian Ventures LLC&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
12	Addepar Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Addepar Inc	Mountain View, CA 94043	Silicon Valley	addepar.com		$50,000,100	2	Expansion	Software	Offers a financial technology platform for investment management industry.	Formation 8 Partners LP	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Formation 8 Partners LP&Drill=2014-2	Valor Equity Parters L P	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Valor Equity Parters L P&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
13	Adespresso Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Adespresso Inc	San Francisco, CA 94158	Silicon Valley	adespresso.com		$800,000	2	Early Stage	IT Services	Provides software-as-a-service solution to manage Facebook advertising.	500 Startups, L.P.	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=500 Startups, L.P.&Drill=2014-2	Sierra Maya Ventures	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Sierra Maya Ventures&Drill=2014-2	VegasTechFund	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=VegasTechFund&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
